Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator
A1,1,Arduino Nano,Arduino_Nano,,,,tht,Socket for Arduino Nano,
"C1, C2, C3",3,100nF,C_Disc_D3.8mm_W2.6mm_P2.50mm,,,,tht,Unpolarized capacitor,capacitor/THT/other
"C4, C5",2,33pF,C_Disc_D3.0mm_W1.6mm_P2.50mm,,,,tht,Unpolarized capacitor,capacitor/THT/other
J1,1,VDP Under Test,DIPS1905W50P178L5730H420Q64N,,,,tht,"Generic connector, double row, 02x32, counter clockwise pin numbering scheme (similar to DIP package numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",
J2,1,+5V In,BarrelJack_Horizontal,,,,tht,DC Barrel Jack,
J3,1,Power Passthrough,PinHeader_1x02_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",connector/pin_header_socket
R1,1,10KΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,resistor/THT
"R2, R3, R4, R5, R6, R7, R8, R9",8,470Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,resistor/THT
SW1,1,Test,SW_PUSH_6mm,,,,tht,"Push button switch, generic, two pins",
U1,1,74LS595,DIP-16_W7.62mm,,,,tht,8-bit serial in/out Shift Register 3-State Outputs,package/DIP/legacy
U2,1,HDSP-7803,HDSP-7801,,,,tht,"One digit 7 segment green, common cathode",
Y1,1,21.47MHz,Crystal_HC49-U_Vertical,,,,tht,Two pin crystal,crystal_resonator_oscillator
